SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BRED,YEARFOAL
2023,Y,23FTJULYYR,2023-07-11,1,1,182,182,,,,,2022-03-08,1,DKB,F,,Y,,,KY,BOLT D'ORO,BOLT D'ORO,SENORA UNO,SENORA UNO,MACHO UNO,MACHO UNO,,,,,,,,TAYLOR MADE SALES AGENCY AGENT LXXXIX,,,,CSV,,,,90000,USD,https://youtu.be/roSmofRYKZM,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,183,183,,,,,2022-03-19,1,B,F,,Y,,,KY,TIZ THE LAW,TIZ THE LAW,SENSITIVELY,SENSITIVELY,STREET SENSE,STREET SENSE,,,,,,,,STRAIGHT LINE EQUINE SALES AGENT,,,,BBRS,,,,35000,USD,https://vimeo.com/841320765,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,184,184,,,,,2022-03-16,1,CH,C,,Y,,,KY,PRACTICAL JOKE,PRACTICAL JOKE,SEVEN FEATHERS,SEVEN FEATHERS,STEPHANOTIS,STEPHANOTIS,,,,,,,,KATIERICH FARMS AGENT,,,,NOT SOLD,,,,15000,USD,https://vimeo.com/839057176,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,185,185,,,,,2022-03-04,1,B,C,,Y,,,KY,CAIRO PRINCE,CAIRO PRINCE,SHACKIN UP,SHACKIN UP,SHACKLEFORD,SHACKLEFORD,,,,,,,,ST GEORGE SALES AGENT VII,,,,OUT,,,,0,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,186,186,,,,,2022-04-02,1,CH,C,,Y,,,KY,VINO ROSSO,VINO ROSSO,SHE'S ALL READY,SHE'S ALL READY,GIROLAMO,GIROLAMO,,,,,,,,TAYLOR MADE SALES AGENCY AGENT FOR SPENDTHRIFT FARM LLC,,,,OUT,,,,0,USD,https://youtu.be/48rWEi6lLDE,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,187,187,,,,,2022-04-21,1,B,C,,Y,,,KY,IMPROBABLE,IMPROBABLE,SHE'S NOT HERE,SHE'S NOT HERE,STREET CRY (IRE),STREET CRY (IRE),,,,,,,,HIGHGATE SALES AGENT,,,,OUT,,,,0,USD,https://vimeo.com/841865755,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,188,188,,,,,2022-03-13,1,DKB,F,,Y,,,KY,MALIBU MOON,MALIBU MOON,SHEZA SWEET LEMON,SHEZA SWEET LEMON,LEMON DROP KID,LEMON DROP KID,,,,,,,,JOHNSON CROSS AGENT I,,,,NBS STABLE/JOHN BALLANTYNE,,,,275000,USD,https://vimeo.com/843029645,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,189,189,,,,,2022-02-14,1,B,C,,Y,,,KY,ARMY MULE,ARMY MULE,SHIPPY,SHIPPY,MIDSHIPMAN,MIDSHIPMAN,,,,,,,,HUNTER VALLEY FARM AGENT,,,,OUT,,,,0,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,190,190,,,,,2022-02-08,1,DKB,C,,Y,,,KY,CLASSIC EMPIRE,CLASSIC EMPIRE,SIENA GRACE,SIENA GRACE,MORE THAN READY,MORE THAN READY,,,,,,,,HIDDEN BROOK AGENT,,,,OUT,,,,0,USD,https://vimeo.com/841084677,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,191,191,,,,,2022-01-31,1,GRR,F,,Y,,,LA,FROSTED,FROSTED,SILKS AND TASSELS,SILKS AND TASSELS,ELUSIVE QUALITY,ELUSIVE QUALITY,,,,,,,,LANE'S END AGENT FOR COTEAU GROVE FARMS,,,,OUT,,,,0,USD,,,,TB,2022
