SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTOCTYR,2023-10-26,1,4,1333,1333,,,2022-03-30,1,DKB,F,,Y,,,KY,GHOSTZAPPER,GHOSTZAPPER,STARSEEKER,STARSEEKER,ROCK HARD TEN,ROCK HARD TEN,,,,,,,HILL 'N' DALE AT XALAPA AGENT,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1334,1334,,,2022-04-09,1,CH,C,,Y,,,KY,FROSTED,FROSTED,STAR SILVER,STAR SILVER,ALDEBARAN,ALDEBARAN,,,,,,,BETZ THOROUGHBREDS INC. AGENT,,,,NICK J HINES AGENT,,,,45000,,https://vimeo.com/874145993?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1335,1335,,,2022-04-05,1,CH,C,,Y,,,KY,GORMLEY,GORMLEY,STAR WHITE,STAR WHITE,NAEVUS,NAEVUS,,,,,,,PARAMOUNT SALES AGENT XVIII,,,,MIKE DEBELLA,,,,25000,,https://vimeo.com/875130680?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1336,1336,,,2022-04-20,1,B,F,,Y,,,ON,TOM'S D'ETAT,TOM'S D'ETAT,STATE CUP,STATE CUP,ELUSIVE QUALITY,ELUSIVE QUALITY,,,,,,,BUCKLAND SALES (ZACH MADDEN) AGENT VI,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1337,1337,,,2022-03-26,1,DKB,F,,Y,,,ON,MIDNIGHT LUTE,MIDNIGHT LUTE,STATE JEWEL,STATE JEWEL,MORE THAN READY,MORE THAN READY,,,,,,,BUCKLAND SALES (ZACH MADDEN) AGENT VI,,,,LARSON & ORDONEZ,,,,10000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1338,1338,,,2022-04-26,1,CH,C,,Y,,,KY,INSTAGRAND,INSTAGRAND,ST. CROIX,ST. CROIX,ANY GIVEN SATURDAY,ANY GIVEN SATURDAY,,,,,,,BRANDYWINE FARM (JIM & PAM ROBINSON),,,,R T BLOODSTOCK,,,,25000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1339,1339,,,2022-03-11,1,CH,C,,Y,,,NY,SOLOMINI,SOLOMINI,ST EDMOND'S GIRL,ST EDMOND'S GIRL,FREUD,FREUD,,,,,,,ELITE AGENT,,,,ANTONIO VILLAGRAN,,,,5000,,https://vimeo.com/874533391?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1340,1340,,,2022-04-22,1,DKB,F,,Y,,,KY,MENDELSSOHN,MENDELSSOHN,STEELY MAGNOLIA,STEELY MAGNOLIA,MORE THAN READY,MORE THAN READY,,,,,,,BTE STABLES,,,,FLYING ZEE RACING STABLE LLC,,,,110000,,https://vimeo.com/876559860,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1341,1341,,,2022-03-05,1,DKB,C,,Y,,,INDIANA,MOR SPIRIT,MOR SPIRIT,STELLALUCE,STELLALUCE,CUVEE,CUVEE,,,,,,,TAYLOR MADE SALES AGENCY AGENT XXXIX,,,,NOT SOLD,,,,12000,,https://youtu.be/KvDJup_dMpc,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1342,1342,,,2022-05-17,1,CH,F,,Y,,,KY,GLOBAL CAMPAIGN,GLOBAL CAMPAIGN,STELLA PRIMA,STELLA PRIMA,EL PRADO (IRE),EL PRADO (IRE),,,,,,,SERENDIPITY FARM AGENT I,,,,EDY GONZALEZ,,,,10000,,,,,T,2022
