SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CONSLNAME,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2023,Y,23SARAUG,8/7/2023,1,1,65,65,,,,,3/23/2022,1,B,C,,Y,,,KY,TAPIT,TAPIT,HEAT STREET,HEAT STREET,STREET CRY (IRE),GAINESWAY AGENT IX,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,66,66,,,,,3/7/2022,1,DKB,F,,Y,,,IRE,NO NAY NEVER,NO NAY NEVER,HINDAAM,HINDAAM,ARCH,GAINESWAY AGENT III,,,,,,,,,,,,ANDREW FARM & LADY SHEILA,,,,270000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,67,67,,,,,4/27/2022,1,GRR,F,,Y,,,KY,OMAHA BEACH,OMAHA BEACH,HIPPOCAMPUS,HIPPOCAMPUS,TAPIT,TAYLOR MADE SALES AGENCY AGENT FOR SPENDTHRIFT FARM LLC,,,,,,,,,,,,CENTENNIAL FARMS LLC,,,,400000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,68,68,,,,,2/8/2022,1,B,C,,Y,,,KY,AUTHENTIC,AUTHENTIC,HOME OF THE BLUES,HOME OF THE BLUES,STREET CRY (IRE),LANE'S END AGENT,,,,,,,,,,,,NOT SOLD,,,,270000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,69,69,,,,,3/27/2022,1,B,F,,Y,,,KY,LIAM'S MAP,LIAM'S MAP,HOPEFUL GROWTH,HOPEFUL GROWTH,TAPITURE,DARBY DAN FARM AGENT I,,,,,,,,,,,,NOT SOLD,,,,225000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,71,71,,,,,2/18/2022,1,B,F,,Y,,,KY,COMPLEXITY,COMPLEXITY,HUDSON RIVER GAL,HUDSON RIVER GAL,DYNAFORMER,MILL RIDGE SALES AGENT,,,,,,,,,,,,AAB BLOODSTOCK,,,,170000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,72,72,,,,,4/5/2022,1,B,F,,Y,,,MD,MORE THAN READY,MORE THAN READY,HURRYUPANDCOMEBACK,HURRYUPANDCOMEBACK,MIZZEN MAST,MILL RIDGE SALES AGENT,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,73,73,,,,,2/7/2022,1,B,F,,Y,,,KY,NYQUIST,NYQUIST,ICE CREAM,ICE CREAM,BERNARDINI,TAYLOR MADE SALES AGENCY AGENT FOR DJ STABLES LLC GRADUATE,,,,,,,,,,,,STEVE CARR,,,,290000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,74,74,,,,,4/4/2022,1,B,C,,Y,,,KY,CONSTITUTION,CONSTITUTION,ICON PROJECT,ICON PROJECT,EMPIRE MAKER,LANE'S END AGENT,,,,,,,,,,,,WEST POINT TB L.E.B. AGENT,,,,200000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,75,75,,,,,2/28/2022,1,CH,C,,Y,,,KY,GUN RUNNER,GUN RUNNER,IF NOT FOR HER,IF NOT FOR HER,NOT FOR LOVE,DENALI STUD AGENT,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,76,76,,,,,3/3/2022,1,B,F,,Y,,,KY,GUN RUNNER,GUN RUNNER,IL BRIGANTE,IL BRIGANTE,KELA,TAYLOR MADE SALES AGENCY AGENT XX,,,,,,,,,,,,NOT SOLD,,,,350000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,77,77,,,,,3/18/2022,1,B,C,,Y,,,KY,QUALITY ROAD,QUALITY ROAD,I'M A LOOKER,I'M A LOOKER,HENNY HUGHES,GAINESWAY AGENT FOR STONESTREET BRED & RAISED,,,,,,,,,,,,ELLIOTT/MCELROY AGENT FOR AMO RACING,,,,1100000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,78,78,,,,,3/14/2022,1,CH,C,,Y,,,KY,VEKOMA,VEKOMA,INCONCLUSIVE,INCONCLUSIVE,INCLUDE,TAYLOR MADE SALES AGENCY AGENT VII,,,,,,,,,,,,JOHN P FORT,,,,200000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,79,79,,,,,2/6/2022,1,B,C,,Y,,,KY,AMERICAN PHAROAH,AMERICAN PHAROAH,INDIAN PRIDE,INDIAN PRIDE,PROUD CITIZEN,AIRDRIE STUD RAISED & OFFERED,,,,,,,,,,,,GUS KING,,,,600000,,,,,T,2022
